"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2011","7,174.87","6,635.87","7,320.22","6,635.87","3.74B","8.12%"
"12/01/2010","6,635.87","6,434.85","6,660.36","6,343.12","2.35B","3.12%"
"11/01/2010","6,434.85","6,678.10","7,275.79","6,247.29","1.72B","-3.64%"
"10/01/2010","6,678.05","6,997.22","7,207.75","6,159.33","1.42B","-4.56%"
"09/01/2010","6,997.22","5,658.01","7,015.67","5,658.01","2.19B","23.67%"
"08/01/2010","5,658.01","5,161.18","5,679.14","4,759.04","1.62B","9.63%"
"07/01/2010","5,161.18","4,612.46","5,192.96","4,460.14","2.96B","11.90%"
"06/01/2010","4,612.46","4,237.27","4,676.01","4,237.27","1.67B","8.86%"
"05/01/2010","4,237.16","4,188.88","4,281.97","4,182.59","1.12B","1.15%"
"04/01/2010","4,188.88","3,724.59","4,197.22","3,724.59","970.87M","12.47%"
"03/01/2010","3,724.59","3,807.86","3,865.17","3,715.95","963.56M","-2.19%"
"02/01/2010","3,807.86","3,636.41","3,823.44","3,635.34","973.00M","4.71%"
"01/01/2010","3,636.41","3,385.66","3,647.80","3,384.21","713.67M","7.41%"
"12/01/2009","3,385.55","2,913.39","3,390.31","2,913.30","371.18M","16.21%"
"11/01/2009","2,913.39","2,976.93","3,001.27","2,841.63","312.40M","-2.13%"
"10/01/2009","2,976.93","2,938.64","3,157.11","2,852.60","924.59M","1.30%"
"09/01/2009","2,938.64","2,607.65","2,963.85","2,601.60","801.24M","12.69%"
"08/01/2009","2,607.65","2,525.70","2,615.06","2,493.51","268.72M","3.24%"
"07/01/2009","2,525.70","2,432.15","2,540.09","2,340.67","360.79M","3.85%"
"06/01/2009","2,432.15","2,215.96","2,493.85","2,128.38","532.34M","9.76%"
"05/01/2009","2,215.96","1,838.45","2,231.52","1,838.45","571.41M","20.53%"
"04/01/2009","1,838.45","1,638.06","1,856.48","1,633.10","127.77M","12.23%"
"03/01/2009","1,638.06","1,694.14","1,703.90","1,608.00","189.80M","-3.31%"
